,init_cond,equilibrium,init_M,init_C,init_T
63,64.0,2.0,0.31000000000000005,0.16000000000000003,0.5299999999999999
64,65.0,2.0,0.36000000000000004,0.16000000000000003,0.4799999999999999
65,66.0,2.0,0.41000000000000003,0.16000000000000003,0.42999999999999994
66,67.0,2.0,0.46,0.16000000000000003,0.37999999999999995
67,68.0,2.0,0.51,0.16000000000000003,0.32999999999999996
68,69.0,2.0,0.56,0.16000000000000003,0.2799999999999999
69,70.0,2.0,0.6100000000000001,0.16000000000000003,0.22999999999999987
70,71.0,2.0,0.66,0.16000000000000003,0.17999999999999994
71,72.0,2.0,0.7100000000000001,0.16000000000000003,0.1299999999999999
72,73.0,2.0,0.76,0.16000000000000003,0.07999999999999996
73,74.0,2.0,0.81,0.16000000000000003,0.029999999999999916
74,75.0,2.0,0.01,0.21000000000000002,0.78
75,76.0,2.0,0.060000000000000005,0.21000000000000002,0.73
76,77.0,2.0,0.11,0.21000000000000002,0.68
77,78.0,2.0,0.16000000000000003,0.21000000000000002,0.63
78,79.0,2.0,0.21000000000000002,0.21000000000000002,0.5800000000000001
79,80.0,2.0,0.26,0.21000000000000002,0.53
80,81.0,2.0,0.31000000000000005,0.21000000000000002,0.48
81,82.0,2.0,0.36000000000000004,0.21000000000000002,0.43
82,83.0,2.0,0.41000000000000003,0.21000000000000002,0.38
83,84.0,2.0,0.46,0.21000000000000002,0.33
84,85.0,2.0,0.51,0.21000000000000002,0.28
85,86.0,2.0,0.56,0.21000000000000002,0.22999999999999998
86,87.0,2.0,0.6100000000000001,0.21000000000000002,0.17999999999999994
87,88.0,2.0,0.66,0.21000000000000002,0.13
88,89.0,2.0,0.7100000000000001,0.21000000000000002,0.07999999999999996
89,90.0,2.0,0.76,0.21000000000000002,0.030000000000000027
90,91.0,2.0,0.01,0.26,0.73
91,92.0,2.0,0.060000000000000005,0.26,0.6799999999999999
92,93.0,2.0,0.11,0.26,0.63
93,94.0,2.0,0.16000000000000003,0.26,0.58
94,95.0,2.0,0.21000000000000002,0.26,0.53
95,96.0,2.0,0.26,0.26,0.48
96,97.0,2.0,0.31000000000000005,0.26,0.42999999999999994
97,98.0,2.0,0.36000000000000004,0.26,0.37999999999999995
98,99.0,2.0,0.41000000000000003,0.26,0.32999999999999996
99,100.0,2.0,0.46,0.26,0.27999999999999997
100,101.0,2.0,0.51,0.26,0.22999999999999998
101,102.0,2.0,0.56,0.26,0.17999999999999994
102,103.0,2.0,0.6100000000000001,0.26,0.1299999999999999
103,104.0,2.0,0.66,0.26,0.07999999999999996
104,105.0,2.0,0.7100000000000001,0.26,0.029999999999999916
105,106.0,2.0,0.01,0.31000000000000005,0.6799999999999999
106,107.0,2.0,0.060000000000000005,0.31000000000000005,0.6299999999999999
107,108.0,2.0,0.11,0.31000000000000005,0.58
